Schema Version,Record Type,Source Name,Source URL,Entity Name,GitHub Login,GitHub URL,Avatar URL,Classification,Verification,Collected At
1.0,STARTUP,GitHub Search API,https://github.com/openai,openai,openai,https://github.com/openai,https://avatars.githubusercontent.com/u/14957082?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
1.0,STARTUP,GitHub Search API,https://github.com/allenai,allenai,allenai,https://github.com/allenai,https://avatars.githubusercontent.com/u/5667695?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
1.0,STARTUP,GitHub Search API,https://github.com/Stability-AI,Stability-AI,Stability-AI,https://github.com/Stability-AI,https://avatars.githubusercontent.com/u/100950301?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
1.0,STARTUP,GitHub Search API,https://github.com/dair-ai,dair-ai,dair-ai,https://github.com/dair-ai,https://avatars.githubusercontent.com/u/30384625?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
1.0,STARTUP,GitHub Search API,https://github.com/airbnb,airbnb,airbnb,https://github.com/airbnb,https://avatars.githubusercontent.com/u/698437?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
1.0,STARTUP,GitHub Search API,https://github.com/jina-ai,jina-ai,jina-ai,https://github.com/jina-ai,https://avatars.githubusercontent.com/u/60539444?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
1.0,STARTUP,GitHub Search API,https://github.com/MoonshotAI,MoonshotAI,MoonshotAI,https://github.com/MoonshotAI,https://avatars.githubusercontent.com/u/129152888?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
1.0,STARTUP,GitHub Search API,https://github.com/LAION-AI,LAION-AI,LAION-AI,https://github.com/LAION-AI,https://avatars.githubusercontent.com/u/92627801?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
1.0,STARTUP,GitHub Search API,https://github.com/commaai,commaai,commaai,https://github.com/commaai,https://avatars.githubusercontent.com/u/16128714?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
1.0,STARTUP,GitHub Search API,https://github.com/EleutherAI,EleutherAI,EleutherAI,https://github.com/EleutherAI,https://avatars.githubusercontent.com/u/68924597?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
1.0,STARTUP,GitHub Search API,https://github.com/fastai,fastai,fastai,https://github.com/fastai,https://avatars.githubusercontent.com/u/20547620?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
1.0,STARTUP,GitHub Search API,https://github.com/mistralai,mistralai,mistralai,https://github.com/mistralai,https://avatars.githubusercontent.com/u/132372032?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
1.0,STARTUP,GitHub Search API,https://github.com/AI4Finance-Foundation,AI4Finance-Foundation,AI4Finance-Foundation,https://github.com/AI4Finance-Foundation,https://avatars.githubusercontent.com/u/68813910?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
1.0,STARTUP,GitHub Search API,https://github.com/zai-org,zai-org,zai-org,https://github.com/zai-org,https://avatars.githubusercontent.com/u/223098841?v=4,STARTUP_CANDIDATE,GITHUB_ORGANIZATION,2026-09-11T04:55:58.869282+00:00
